userid,phone_no,brand,description,os,ram,screen_size,processor,gpu,price,warranty
user9382,+91 7610492715,hp,"hp laptop with 16gb RAM, 15-inch screen, i5 processor, and rtx 2060 GPU",linux,16gb,15,i5,rtx 2060,80314,yes
user1489,+91 8763103089,asus,"asus laptop with 4gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,4gb,16,ryzen 3,rtx 3070,49027,no
user5063,+91 9843600010,mi,"mi laptop with 32gb RAM, 13-inch screen, i3 processor, and gtx 1050 GPU",macos,32gb,13,i3,gtx 1050,268936,no
user8127,+91 9793473153,apple,"apple laptop with 32gb RAM, 15-inch screen, i5 processor, and rtx 2060 GPU",macos,32gb,15,i5,rtx 2060,200381,no
user6870,+91 8080559096,mi,"mi laptop with 4gb RAM, 15-inch screen, ryzen 3 processor, and rtx 3080 GPU",macos,4gb,15,ryzen 3,rtx 3080,61411,no
user5239,+91 9064856158,mi,"mi laptop with 2gb RAM, 15-inch screen, ryzen 3 processor, and gtx 1050 GPU",macos,2gb,15,ryzen 3,gtx 1050,33766,yes
user4108,+91 8289127962,apple,"apple laptop with 4gb RAM, 15-inch screen, i3 processor, and gtx 1650 GPU",macos,4gb,15,i3,gtx 1650,162000,no
user8807,+91 8018949144,mi,"mi laptop with 8gb RAM, 15-inch screen, i5 processor, and rtx 3070 GPU",windows,8gb,15,i5,rtx 3070,59127,yes
user1601,+91 8723444609,asus,"asus laptop with 32gb RAM, 14-inch screen, ryzen 3 processor, and rtx 3070 GPU",windows,32gb,14,ryzen 3,rtx 3070,240161,no
user2376,+91 8218850562,lenovo,"lenovo laptop with 4gb RAM, 14-inch screen, i3 processor, and rtx 3060 GPU",macos,4gb,14,i3,rtx 3060,52451,yes
user5722,+91 8139795891,lenovo,"lenovo laptop with 8gb RAM, 13-inch screen, i5 processor, and gtx 1650 GPU",macos,8gb,13,i5,gtx 1650,55583,yes
user3416,+91 9621721592,hp,"hp laptop with 8gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3060 GPU",linux,8gb,16,ryzen 3,rtx 3060,63610,no
user5998,+91 8430725316,lenovo,"lenovo laptop with 4gb RAM, 15-inch screen, i7 processor, and gtx 1650 GPU",windows,4gb,15,i7,gtx 1650,50483,yes
user3893,+91 9042484381,asus,"asus laptop with 32gb RAM, 16-inch screen, ryzen 9 processor, and gtx 1650 GPU",windows,32gb,16,ryzen 9,gtx 1650,273380,no
user9998,+91 8432899978,acer,"acer laptop with 16gb RAM, 13-inch screen, i9 processor, and rtx 3060 GPU",windows,16gb,13,i9,rtx 3060,87657,yes
user8011,+91 8533782861,lenovo,"lenovo laptop with 4gb RAM, 13-inch screen, i5 processor, and rtx 2060 GPU",windows,4gb,13,i5,rtx 2060,55175,yes
user9339,+91 7021631717,asus,"asus laptop with 2gb RAM, 15-inch screen, i3 processor, and gtx 1050 GPU",linux,2gb,15,i3,gtx 1050,35283,no
user5176,+91 8574850949,hp,"hp laptop with 2gb RAM, 17-inch screen, i9 processor, and rtx 3080 GPU",linux,2gb,17,i9,rtx 3080,49800,no
user8586,+91 9516718949,acer,"acer laptop with 16gb RAM, 13-inch screen, ryzen 3 processor, and rtx 2060 GPU",macos,16gb,13,ryzen 3,rtx 2060,73969,no
user8239,+91 8217715360,acer,"acer laptop with 8gb RAM, 15-inch screen, ryzen 7 processor, and rtx 3080 GPU",macos,8gb,15,ryzen 7,rtx 3080,98196,no
user4076,+91 9271382924,lenovo,"lenovo laptop with 2gb RAM, 13-inch screen, i9 processor, and rtx 3070 GPU",macos,2gb,13,i9,rtx 3070,44534,no
user5507,+91 8574255902,apple,"apple laptop with 2gb RAM, 15-inch screen, ryzen 3 processor, and rtx 3060 GPU",macos,2gb,15,ryzen 3,rtx 3060,165000,yes
user4995,+91 7482318028,apple,"apple laptop with 8gb RAM, 17-inch screen, ryzen 3 processor, and rtx 2060 GPU",macos,8gb,17,ryzen 3,rtx 2060,165000,yes
user2262,+91 8356479810,acer,"acer laptop with 16gb RAM, 15-inch screen, i7 processor, and rtx 3070 GPU",macos,16gb,15,i7,rtx 3070,130424,yes
user6818,+91 9121220127,mi,"mi laptop with 4gb RAM, 17-inch screen, i3 processor, and rtx 3080 GPU",windows,4gb,17,i3,rtx 3080,65525,yes
user6229,+91 9231869257,mi,"mi laptop with 16gb RAM, 14-inch screen, i9 processor, and rtx 3070 GPU",macos,16gb,14,i9,rtx 3070,118790,no
user6314,+91 8320350997,apple,"apple laptop with 8gb RAM, 14-inch screen, ryzen 3 processor, and rtx 2060 GPU",macos,8gb,14,ryzen 3,rtx 2060,162000,no
user8604,+91 8006090941,apple,"apple laptop with 2gb RAM, 13-inch screen, ryzen 7 processor, and rtx 3080 GPU",macos,2gb,13,ryzen 7,rtx 3080,171000,yes
user2816,+91 9665257221,mi,"mi laptop with 32gb RAM, 13-inch screen, i5 processor, and gtx 1650 GPU",macos,32gb,13,i5,gtx 1650,201519,no
user2509,+91 8165403415,apple,"apple laptop with 32gb RAM, 15-inch screen, i5 processor, and rtx 3060 GPU",macos,32gb,15,i5,rtx 3060,198487,no
user6460,+91 9682084756,lenovo,"lenovo laptop with 4gb RAM, 13-inch screen, i9 processor, and rtx 3080 GPU",windows,4gb,13,i9,rtx 3080,54142,yes
user2536,+91 9446034179,lenovo,"lenovo laptop with 4gb RAM, 15-inch screen, i3 processor, and rtx 3070 GPU",macos,4gb,15,i3,rtx 3070,62188,no
user9119,+91 7625184847,mi,"mi laptop with 2gb RAM, 16-inch screen, i9 processor, and gtx 1650 GPU",windows,2gb,16,i9,gtx 1650,41051,no
user4828,+91 7492064985,apple,"apple laptop with 4gb RAM, 13-inch screen, i3 processor, and rtx 3080 GPU",macos,4gb,13,i3,rtx 3080,168000,yes
user8486,+91 8527724400,mi,"mi laptop with 2gb RAM, 14-inch screen, i3 processor, and rtx 2060 GPU",linux,2gb,14,i3,rtx 2060,34579,no
user9369,+91 8150775889,apple,"apple laptop with 4gb RAM, 15-inch screen, ryzen 5 processor, and gtx 1650 GPU",macos,4gb,15,ryzen 5,gtx 1650,163000,no
user2983,+91 8019716975,lenovo,"lenovo laptop with 8gb RAM, 17-inch screen, ryzen 5 processor, and rtx 3070 GPU",macos,8gb,17,ryzen 5,rtx 3070,97100,yes
user9280,+91 7453778409,hp,"hp laptop with 8gb RAM, 13-inch screen, i9 processor, and gtx 1050 GPU",macos,8gb,13,i9,gtx 1050,119895,no
user7882,+91 8604461298,hp,"hp laptop with 4gb RAM, 13-inch screen, ryzen 9 processor, and gtx 1650 GPU",macos,4gb,13,ryzen 9,gtx 1650,43348,yes
user3261,+91 8045491128,lenovo,"lenovo laptop with 4gb RAM, 15-inch screen, ryzen 5 processor, and gtx 1050 GPU",macos,4gb,15,ryzen 5,gtx 1050,48392,yes
user8804,+91 9519967443,mi,"mi laptop with 32gb RAM, 15-inch screen, ryzen 5 processor, and rtx 3080 GPU",macos,32gb,15,ryzen 5,rtx 3080,282149,no
user4897,+91 7354964243,asus,"asus laptop with 2gb RAM, 15-inch screen, ryzen 5 processor, and gtx 1050 GPU",macos,2gb,15,ryzen 5,gtx 1050,37285,no
user3770,+91 9100833390,hp,"hp laptop with 16gb RAM, 17-inch screen, ryzen 5 processor, and rtx 2060 GPU",windows,16gb,17,ryzen 5,rtx 2060,164689,yes
user4063,+91 8137652325,acer,"acer laptop with 4gb RAM, 16-inch screen, i7 processor, and gtx 1050 GPU",windows,4gb,16,i7,gtx 1050,43531,yes
user5585,+91 7877251229,mi,"mi laptop with 32gb RAM, 13-inch screen, i7 processor, and rtx 3060 GPU",windows,32gb,13,i7,rtx 3060,224653,no
user7828,+91 9115492136,lenovo,"lenovo laptop with 32gb RAM, 17-inch screen, ryzen 7 processor, and rtx 2060 GPU",linux,32gb,17,ryzen 7,rtx 2060,216940,no
user8228,+91 9781270001,apple,"apple laptop with 2gb RAM, 16-inch screen, ryzen 7 processor, and rtx 2060 GPU",macos,2gb,16,ryzen 7,rtx 2060,168000,yes
user8959,+91 7949815673,lenovo,"lenovo laptop with 32gb RAM, 15-inch screen, ryzen 5 processor, and rtx 2060 GPU",linux,32gb,15,ryzen 5,rtx 2060,185569,no
user8900,+91 8417565179,acer,"acer laptop with 8gb RAM, 16-inch screen, i3 processor, and rtx 3080 GPU",windows,8gb,16,i3,rtx 3080,62914,yes
user3839,+91 7211665008,lenovo,"lenovo laptop with 8gb RAM, 16-inch screen, ryzen 9 processor, and rtx 3080 GPU",macos,8gb,16,ryzen 9,rtx 3080,70895,yes
user8336,+91 9929171476,mi,"mi laptop with 4gb RAM, 13-inch screen, ryzen 3 processor, and rtx 3060 GPU",windows,4gb,13,ryzen 3,rtx 3060,57118,no
user9230,+91 7404968454,acer,"acer laptop with 4gb RAM, 13-inch screen, i7 processor, and rtx 2060 GPU",macos,4gb,13,i7,rtx 2060,60366,no
user8749,+91 8254039482,apple,"apple laptop with 2gb RAM, 16-inch screen, ryzen 7 processor, and gtx 1050 GPU",macos,2gb,16,ryzen 7,gtx 1050,164000,no
user2823,+91 7554526998,acer,"acer laptop with 4gb RAM, 15-inch screen, i7 processor, and rtx 3070 GPU",macos,4gb,15,i7,rtx 3070,49833,no
user3400,+91 7475387795,apple,"apple laptop with 2gb RAM, 17-inch screen, i5 processor, and rtx 3080 GPU",macos,2gb,17,i5,rtx 3080,174000,no
user5162,+91 9084258378,hp,"hp laptop with 16gb RAM, 15-inch screen, ryzen 9 processor, and rtx 3080 GPU",macos,16gb,15,ryzen 9,rtx 3080,149776,no
user4834,+91 8799058594,lenovo,"lenovo laptop with 4gb RAM, 15-inch screen, i7 processor, and rtx 2060 GPU",macos,4gb,15,i7,rtx 2060,47223,yes
user3876,+91 7064322029,asus,"asus laptop with 8gb RAM, 16-inch screen, ryzen 7 processor, and gtx 1050 GPU",macos,8gb,16,ryzen 7,gtx 1050,80593,no
user6846,+91 9533409220,lenovo,"lenovo laptop with 2gb RAM, 14-inch screen, ryzen 5 processor, and rtx 3070 GPU",linux,2gb,14,ryzen 5,rtx 3070,41417,yes
user4960,+91 8220831124,lenovo,"lenovo laptop with 8gb RAM, 13-inch screen, ryzen 7 processor, and rtx 2060 GPU",linux,8gb,13,ryzen 7,rtx 2060,93779,yes
user6858,+91 8303356476,mi,"mi laptop with 16gb RAM, 17-inch screen, i5 processor, and rtx 3080 GPU",macos,16gb,17,i5,rtx 3080,173639,no
user7483,+91 8177790016,asus,"asus laptop with 32gb RAM, 14-inch screen, i5 processor, and gtx 1050 GPU",macos,32gb,14,i5,gtx 1050,205758,yes
user5998,+91 9535876823,lenovo,"lenovo laptop with 32gb RAM, 15-inch screen, ryzen 5 processor, and gtx 1050 GPU",linux,32gb,15,ryzen 5,gtx 1050,205162,no
user1690,+91 7261360827,lenovo,"lenovo laptop with 4gb RAM, 17-inch screen, ryzen 5 processor, and rtx 2060 GPU",macos,4gb,17,ryzen 5,rtx 2060,50274,yes
user6548,+91 9065622655,hp,"hp laptop with 2gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3070 GPU",windows,2gb,16,ryzen 3,rtx 3070,39253,no
user6762,+91 8671477645,acer,"acer laptop with 8gb RAM, 15-inch screen, i5 processor, and rtx 2060 GPU",macos,8gb,15,i5,rtx 2060,100650,no
user4020,+91 9775628413,hp,"hp laptop with 4gb RAM, 13-inch screen, i3 processor, and gtx 1050 GPU",macos,4gb,13,i3,gtx 1050,37355,yes
user5342,+91 9140933577,hp,"hp laptop with 2gb RAM, 17-inch screen, ryzen 5 processor, and rtx 2060 GPU",macos,2gb,17,ryzen 5,rtx 2060,42330,no
user9287,+91 9218990311,hp,"hp laptop with 4gb RAM, 14-inch screen, i5 processor, and rtx 3070 GPU",linux,4gb,14,i5,rtx 3070,54000,no
user6421,+91 9161236886,acer,"acer laptop with 4gb RAM, 16-inch screen, ryzen 3 processor, and gtx 1050 GPU",macos,4gb,16,ryzen 3,gtx 1050,38098,no
user7990,+91 8164681276,apple,"apple laptop with 32gb RAM, 17-inch screen, i5 processor, and rtx 3080 GPU",macos,32gb,17,i5,rtx 3080,221311,no
user1366,+91 9420899480,hp,"hp laptop with 2gb RAM, 15-inch screen, i5 processor, and gtx 1650 GPU",linux,2gb,15,i5,gtx 1650,34226,no
user6871,+91 9642253597,hp,"hp laptop with 16gb RAM, 14-inch screen, i3 processor, and rtx 3070 GPU",macos,16gb,14,i3,rtx 3070,116289,yes
user2459,+91 7243400005,lenovo,"lenovo laptop with 32gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3060 GPU",windows,32gb,16,ryzen 3,rtx 3060,255597,no
user9026,+91 8654532922,apple,"apple laptop with 4gb RAM, 13-inch screen, ryzen 3 processor, and gtx 1650 GPU",macos,4gb,13,ryzen 3,gtx 1650,159000,yes
user2482,+91 9037038184,hp,"hp laptop with 4gb RAM, 17-inch screen, i5 processor, and gtx 1050 GPU",windows,4gb,17,i5,gtx 1050,53044,no
user6713,+91 9321536457,hp,"hp laptop with 8gb RAM, 15-inch screen, ryzen 7 processor, and gtx 1050 GPU",windows,8gb,15,ryzen 7,gtx 1050,64923,yes
user6029,+91 7114192399,lenovo,"lenovo laptop with 32gb RAM, 17-inch screen, ryzen 3 processor, and gtx 1650 GPU",linux,32gb,17,ryzen 3,gtx 1650,186149,yes
user8655,+91 9935541425,mi,"mi laptop with 4gb RAM, 15-inch screen, ryzen 3 processor, and rtx 3080 GPU",macos,4gb,15,ryzen 3,rtx 3080,62788,yes
user9733,+91 9897634608,mi,"mi laptop with 32gb RAM, 17-inch screen, ryzen 9 processor, and gtx 1050 GPU",linux,32gb,17,ryzen 9,gtx 1050,269454,yes
user6941,+91 8217339703,asus,"asus laptop with 8gb RAM, 15-inch screen, i3 processor, and rtx 3080 GPU",linux,8gb,15,i3,rtx 3080,123208,no
user4514,+91 8446937331,hp,"hp laptop with 4gb RAM, 13-inch screen, i9 processor, and gtx 1050 GPU",linux,4gb,13,i9,gtx 1050,53784,yes
user1580,+91 8195486303,apple,"apple laptop with 4gb RAM, 15-inch screen, ryzen 7 processor, and rtx 3060 GPU",macos,4gb,15,ryzen 7,rtx 3060,169000,yes
user7077,+91 8689649733,lenovo,"lenovo laptop with 4gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3070 GPU",linux,4gb,16,ryzen 3,rtx 3070,46736,no
user1471,+91 9761725689,asus,"asus laptop with 4gb RAM, 16-inch screen, i7 processor, and gtx 1650 GPU",windows,4gb,16,i7,gtx 1650,49697,no
user6388,+91 9567271375,acer,"acer laptop with 4gb RAM, 16-inch screen, i3 processor, and rtx 2060 GPU",windows,4gb,16,i3,rtx 2060,49694,no
user1696,+91 8107843197,apple,"apple laptop with 2gb RAM, 13-inch screen, ryzen 7 processor, and rtx 3080 GPU",macos,2gb,13,ryzen 7,rtx 3080,171000,no
user3581,+91 7777432303,mi,"mi laptop with 4gb RAM, 17-inch screen, ryzen 3 processor, and rtx 2060 GPU",windows,4gb,17,ryzen 3,rtx 2060,46855,no
user8753,+91 7038009926,acer,"acer laptop with 32gb RAM, 15-inch screen, ryzen 9 processor, and rtx 3060 GPU",windows,32gb,15,ryzen 9,rtx 3060,263642,no
user1801,+91 7083201704,apple,"apple laptop with 8gb RAM, 17-inch screen, ryzen 5 processor, and rtx 2060 GPU",macos,8gb,17,ryzen 5,rtx 2060,167000,yes
user5516,+91 8838118571,asus,"asus laptop with 8gb RAM, 15-inch screen, i5 processor, and gtx 1050 GPU",linux,8gb,15,i5,gtx 1050,67337,no
user4382,+91 9293071784,hp,"hp laptop with 2gb RAM, 14-inch screen, i7 processor, and gtx 1050 GPU",linux,2gb,14,i7,gtx 1050,36143,no
user7147,+91 9485014388,mi,"mi laptop with 32gb RAM, 16-inch screen, ryzen 7 processor, and rtx 3080 GPU",windows,32gb,16,ryzen 7,rtx 3080,201711,no
user4719,+91 7300071337,mi,"mi laptop with 2gb RAM, 16-inch screen, i7 processor, and rtx 3070 GPU",windows,2gb,16,i7,rtx 3070,43780,no
user3139,+91 8115053142,lenovo,"lenovo laptop with 2gb RAM, 15-inch screen, ryzen 3 processor, and rtx 3080 GPU",windows,2gb,15,ryzen 3,rtx 3080,44100,no
user8099,+91 9550670408,mi,"mi laptop with 4gb RAM, 16-inch screen, i7 processor, and rtx 3080 GPU",macos,4gb,16,i7,rtx 3080,54489,no
user7118,+91 9465788668,apple,"apple laptop with 4gb RAM, 16-inch screen, i7 processor, and rtx 3070 GPU",macos,4gb,16,i7,rtx 3070,173000,yes
user8507,+91 8088505945,asus,"asus laptop with 8gb RAM, 14-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,8gb,14,ryzen 3,rtx 3070,103139,yes
user5359,+91 7116226885,acer,"acer laptop with 4gb RAM, 14-inch screen, ryzen 9 processor, and rtx 3080 GPU",windows,4gb,14,ryzen 9,rtx 3080,64918,no
user2597,+91 9674983110,asus,"asus laptop with 4gb RAM, 17-inch screen, i9 processor, and gtx 1050 GPU",macos,4gb,17,i9,gtx 1050,54093,no
user9965,+91 9313432895,mi,"mi laptop with 8gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,8gb,16,ryzen 3,rtx 3070,90735,no
user4767,+91 9487509954,apple,"apple laptop with 16gb RAM, 14-inch screen, ryzen 3 processor, and rtx 2060 GPU",macos,16gb,14,ryzen 3,rtx 2060,168827,no
user2079,+91 9727171278,asus,"asus laptop with 32gb RAM, 13-inch screen, i5 processor, and gtx 1050 GPU",linux,32gb,13,i5,gtx 1050,167156,no
user9761,+91 9871005617,asus,"asus laptop with 4gb RAM, 16-inch screen, ryzen 9 processor, and gtx 1650 GPU",windows,4gb,16,ryzen 9,gtx 1650,46023,no
user9101,+91 7378447218,lenovo,"lenovo laptop with 32gb RAM, 14-inch screen, ryzen 9 processor, and gtx 1050 GPU",linux,32gb,14,ryzen 9,gtx 1050,253095,no
user8385,+91 7519271100,hp,"hp laptop with 8gb RAM, 17-inch screen, ryzen 3 processor, and rtx 3080 GPU",linux,8gb,17,ryzen 3,rtx 3080,67539,no
user3933,+91 8073541663,lenovo,"lenovo laptop with 16gb RAM, 17-inch screen, i3 processor, and rtx 3080 GPU",linux,16gb,17,i3,rtx 3080,110693,yes
user6276,+91 7068898105,asus,"asus laptop with 4gb RAM, 14-inch screen, i7 processor, and rtx 3060 GPU",linux,4gb,14,i7,rtx 3060,49117,yes
user1956,+91 9340575934,asus,"asus laptop with 2gb RAM, 13-inch screen, ryzen 9 processor, and rtx 3070 GPU",windows,2gb,13,ryzen 9,rtx 3070,43257,no
user5545,+91 8523124346,acer,"acer laptop with 16gb RAM, 15-inch screen, ryzen 5 processor, and rtx 3070 GPU",linux,16gb,15,ryzen 5,rtx 3070,157790,no
user7559,+91 9310536313,lenovo,"lenovo laptop with 4gb RAM, 14-inch screen, ryzen 9 processor, and gtx 1650 GPU",macos,4gb,14,ryzen 9,gtx 1650,54352,no
user9415,+91 9333523549,lenovo,"lenovo laptop with 32gb RAM, 13-inch screen, ryzen 5 processor, and rtx 3070 GPU",macos,32gb,13,ryzen 5,rtx 3070,229046,no
user4717,+91 7220161264,apple,"apple laptop with 32gb RAM, 17-inch screen, ryzen 7 processor, and rtx 3080 GPU",macos,32gb,17,ryzen 7,rtx 3080,276947,yes
user7487,+91 8532436952,hp,"hp laptop with 4gb RAM, 16-inch screen, ryzen 3 processor, and gtx 1650 GPU",linux,4gb,16,ryzen 3,gtx 1650,44617,no
user2157,+91 8304298745,lenovo,"lenovo laptop with 16gb RAM, 17-inch screen, ryzen 5 processor, and rtx 3080 GPU",macos,16gb,17,ryzen 5,rtx 3080,142363,no
user1432,+91 9366754411,lenovo,"lenovo laptop with 4gb RAM, 16-inch screen, i3 processor, and rtx 3070 GPU",macos,4gb,16,i3,rtx 3070,62367,yes
user8790,+91 9663965850,lenovo,"lenovo laptop with 2gb RAM, 14-inch screen, ryzen 9 processor, and rtx 3080 GPU",linux,2gb,14,ryzen 9,rtx 3080,47989,no
user6843,+91 9937906256,asus,"asus laptop with 16gb RAM, 15-inch screen, ryzen 9 processor, and rtx 2060 GPU",windows,16gb,15,ryzen 9,rtx 2060,170078,yes
user1535,+91 8099457952,apple,"apple laptop with 2gb RAM, 17-inch screen, ryzen 5 processor, and gtx 1050 GPU",macos,2gb,17,ryzen 5,gtx 1050,163000,no
user1871,+91 9249565332,lenovo,"lenovo laptop with 4gb RAM, 17-inch screen, i5 processor, and rtx 3080 GPU",linux,4gb,17,i5,rtx 3080,60396,no
user4342,+91 9158007594,hp,"hp laptop with 8gb RAM, 15-inch screen, i9 processor, and rtx 3080 GPU",linux,8gb,15,i9,rtx 3080,83779,yes
user9380,+91 9921867866,asus,"asus laptop with 2gb RAM, 14-inch screen, ryzen 3 processor, and rtx 3080 GPU",windows,2gb,14,ryzen 3,rtx 3080,43257,yes
user4351,+91 8063288068,hp,"hp laptop with 16gb RAM, 17-inch screen, ryzen 7 processor, and rtx 3080 GPU",linux,16gb,17,ryzen 7,rtx 3080,181285,no
user6928,+91 8739545607,asus,"asus laptop with 32gb RAM, 15-inch screen, ryzen 7 processor, and rtx 3080 GPU",macos,32gb,15,ryzen 7,rtx 3080,292321,no
user9358,+91 7987345460,apple,"apple laptop with 32gb RAM, 17-inch screen, i7 processor, and rtx 3080 GPU",macos,32gb,17,i7,rtx 3080,254793,no
user3140,+91 7389531289,acer,"acer laptop with 8gb RAM, 13-inch screen, i9 processor, and rtx 3060 GPU",windows,8gb,13,i9,rtx 3060,71952,no
user3345,+91 9379849218,lenovo,"lenovo laptop with 32gb RAM, 16-inch screen, ryzen 9 processor, and rtx 3060 GPU",windows,32gb,16,ryzen 9,rtx 3060,178264,yes
user4292,+91 7323337744,hp,"hp laptop with 4gb RAM, 15-inch screen, i5 processor, and gtx 1650 GPU",macos,4gb,15,i5,gtx 1650,44902,yes
user3258,+91 8238843576,apple,"apple laptop with 2gb RAM, 15-inch screen, i7 processor, and rtx 3060 GPU",macos,2gb,15,i7,rtx 3060,170000,no
user1385,+91 8051137660,asus,"asus laptop with 16gb RAM, 13-inch screen, i5 processor, and gtx 1050 GPU",macos,16gb,13,i5,gtx 1050,105746,yes
user8788,+91 9455073112,hp,"hp laptop with 8gb RAM, 15-inch screen, ryzen 7 processor, and rtx 3070 GPU",linux,8gb,15,ryzen 7,rtx 3070,66569,yes
user3551,+91 8049586246,asus,"asus laptop with 4gb RAM, 15-inch screen, ryzen 9 processor, and rtx 2060 GPU",linux,4gb,15,ryzen 9,rtx 2060,63521,yes
user3664,+91 9975574732,mi,"mi laptop with 32gb RAM, 15-inch screen, ryzen 5 processor, and rtx 3060 GPU",linux,32gb,15,ryzen 5,rtx 3060,184891,yes
user7340,+91 7861284886,acer,"acer laptop with 16gb RAM, 16-inch screen, ryzen 3 processor, and gtx 1650 GPU",windows,16gb,16,ryzen 3,gtx 1650,138928,no
user3682,+91 9463038104,acer,"acer laptop with 32gb RAM, 14-inch screen, ryzen 5 processor, and gtx 1050 GPU",macos,32gb,14,ryzen 5,gtx 1050,254295,no
user4334,+91 7522449878,apple,"apple laptop with 4gb RAM, 14-inch screen, i5 processor, and rtx 3060 GPU",macos,4gb,14,i5,rtx 3060,167000,yes
user8242,+91 8589485189,lenovo,"lenovo laptop with 16gb RAM, 16-inch screen, i7 processor, and rtx 3080 GPU",macos,16gb,16,i7,rtx 3080,152803,no
user7070,+91 8373204817,apple,"apple laptop with 4gb RAM, 16-inch screen, ryzen 3 processor, and rtx 3070 GPU",macos,4gb,16,ryzen 3,rtx 3070,168000,yes
user4323,+91 9971346710,lenovo,"lenovo laptop with 2gb RAM, 15-inch screen, i5 processor, and rtx 3070 GPU",windows,2gb,15,i5,rtx 3070,41073,no
user8360,+91 8611100520,apple,"apple laptop with 8gb RAM, 16-inch screen, ryzen 5 processor, and rtx 3080 GPU",macos,8gb,16,ryzen 5,rtx 3080,172000,no
user1347,+91 9498075340,apple,"apple laptop with 2gb RAM, 15-inch screen, ryzen 5 processor, and rtx 3060 GPU",macos,2gb,15,ryzen 5,rtx 3060,167000,yes
user2702,+91 9142117061,lenovo,"lenovo laptop with 32gb RAM, 17-inch screen, ryzen 7 processor, and rtx 3070 GPU",windows,32gb,17,ryzen 7,rtx 3070,214006,no
user7528,+91 8388036743,mi,"mi laptop with 32gb RAM, 15-inch screen, i9 processor, and rtx 3080 GPU",linux,32gb,15,i9,rtx 3080,193846,yes
user6724,+91 7981714770,apple,"apple laptop with 2gb RAM, 16-inch screen, i7 processor, and rtx 3070 GPU",macos,2gb,16,i7,rtx 3070,173000,no
user6460,+91 8590180695,hp,"hp laptop with 8gb RAM, 15-inch screen, i5 processor, and rtx 3080 GPU",macos,8gb,15,i5,rtx 3080,79390,no
user3202,+91 9786127422,acer,"acer laptop with 4gb RAM, 16-inch screen, ryzen 5 processor, and rtx 3080 GPU",linux,4gb,16,ryzen 5,rtx 3080,51544,yes
user9658,+91 8149005640,lenovo,"lenovo laptop with 8gb RAM, 15-inch screen, i5 processor, and rtx 3080 GPU",macos,8gb,15,i5,rtx 3080,105123,yes
user2431,+91 9999031654,acer,"acer laptop with 8gb RAM, 15-inch screen, i7 processor, and rtx 3060 GPU",linux,8gb,15,i7,rtx 3060,99295,no
